Trial_ID	File	Object	Condition	Trial_Start	Trial_End	Trial_Duration	Trial_Accuracy	Question_ID	Question_Order	Question	True_Answer	Sender_Answer	Sender_Answered_Guessed	Receiver_Answer	TMS_Intensity	Question_Start	Question_End	Question_Duration	Question_Accuracy
1	/20Questions/Questions-Sporting-01.csv	Soccer	Control	2015-02-26,23:36:24.969	2015-02-26,23:38:11.908	106.940	1.000	1	1	Individual sport?	No	No	True	No	48	2015-02-26,23:36:33.926	2015-02-26,23:37:04.244	30.319	1.000
1	/20Questions/Questions-Sporting-01.csv	Soccer	Control	2015-02-26,23:36:24.969	2015-02-26,23:38:11.908	106.940	1.000	2	2	Use a ball?	Yes	Yes	True	Yes	71	2015-02-26,23:37:08.690	2015-02-26,23:37:38.236	29.546	1.000
1	/20Questions/Questions-Sporting-01.csv	Soccer	Control	2015-02-26,23:36:24.969	2015-02-26,23:38:11.908	106.940	1.000	3	3	Use a stick?	No	No	True	No	48	2015-02-26,23:37:42.177	2015-02-26,23:38:11.908	29.732	1.000
2	/20Questions/Questions-Fruit-01.csv	Cherry	Control	2015-02-26,23:38:54.055	2015-02-26,23:40:39.076	105.021	0.000	4	1	Red?	Yes	Yes	True	No	69	2015-02-26,23:38:59.180	2015-02-26,23:39:30.375	31.195	0.000
2	/20Questions/Questions-Fruit-01.csv	Cherry	Control	2015-02-26,23:38:54.055	2015-02-26,23:40:39.076	105.021	0.000	5	2	Smooth?	Yes	Yes	True	No	73	2015-02-26,23:39:34.628	2015-02-26,23:40:05.211	30.583	0.000
2	/20Questions/Questions-Fruit-01.csv	Cherry	Control	2015-02-26,23:38:54.055	2015-02-26,23:40:39.076	105.021	0.000	6	3	Berry?	Yes	Yes	True	No	71	2015-02-26,23:40:08.842	2015-02-26,23:40:39.076	30.235	0.000
3	/20Questions/Questions-Family-01.csv	Son	Experimental	2015-02-26,23:41:43.845	2015-02-26,23:43:28.201	104.357	0.333	7	1	Female?	No	No	True	Yes	48	2015-02-26,23:41:49.394	2015-02-26,23:42:18.664	29.270	0.000
3	/20Questions/Questions-Family-01.csv	Son	Experimental	2015-02-26,23:41:43.845	2015-02-26,23:43:28.201	104.357	0.333	8	2	Likely older than you?	No	No	False	Yes	48	2015-02-26,23:42:24.216	2015-02-26,23:42:55.374	31.158	0.000
3	/20Questions/Questions-Family-01.csv	Son	Experimental	2015-02-26,23:41:43.845	2015-02-26,23:43:28.201	104.357	0.333	9	3	Immediate family?	Yes	Yes	True	Yes	71	2015-02-26,23:42:59.105	2015-02-26,23:43:28.201	29.097	1.000
4	/20Questions/Questions-Vegetable-01.csv	Potato	Control	2015-02-26,23:44:10.852	2015-02-26,23:45:54.411	103.558	0.667	10	1	Grows on a vine?	No	No	True	No	45	2015-02-26,23:44:14.543	2015-02-26,23:44:44.344	29.800	1.000
